model,id,polarity,category,margin,polarity_ok,nn_id,nn_text,category_ok
charngram,P-brand_eco_slogan-01,pos,brand_eco_slogan,0.4214,True,P-brand_eco_slogan-02,Coop per l'ambiente,True
charngram,P-brand_eco_slogan-02,pos,brand_eco_slogan,0.5088,True,P-brand_eco_slogan-03,Fiorentini per l'ambiente,True
charngram,P-brand_eco_slogan-03,pos,brand_eco_slogan,0.4966,True,P-brand_eco_slogan-02,Coop per l'ambiente,True
charngram,P-brand_eco_slogan-04,pos,brand_eco_slogan,-0.0026,False,N-performance-07,limita la formazione di cattivi odori,False
charngram,P-brand_eco_slogan-05,pos,brand_eco_slogan,0.2733,True,P-generic_green-06,Flacone green 100%,False
charngram,P-brand_eco_slogan-06,pos,brand_eco_slogan,0.1345,True,P-brand_eco_slogan-07,Il gusto di amare il pianeta,True
charngram,P-brand_eco_slogan-07,pos,brand_eco_slogan,0.1132,True,P-generic_green-04,Fai la differenziata per il pianeta,False
charngram,P-brand_eco_slogan-08,pos,brand_eco_slogan,-0.0362,False,N-natural_flavour-01,Aroma naturale,False
charngram,P-brand_eco_slogan-09,pos,brand_eco_slogan,0.2405,True,P-generic_green-06,Flacone green 100%,False
charngram,P-generic_green-01,pos,generic_green,0.2448,True,P-brand_eco_slogan-02,Coop per l'ambiente,False
charngram,P-generic_green-02,pos,generic_green,0.0939,True,P-brand_eco_slogan-09,Progetto sostenibilità / Il Nostro Flacone Green,False
charngram,P-generic_green-03,pos,generic_green,0.1186,True,P-vague_supply_chain-03,Agricoltura sostenibile,False
charngram,P-generic_green-04,pos,generic_green,0.2677,True,P-generic_green-05,Il nostro impegno per te e per il pianeta,True
charngram,P-generic_green-05,pos,generic_green,0.2454,True,P-generic_green-04,Fai la differenziata per il pianeta,True
charngram,P-generic_green-06,pos,generic_green,0.2115,True,P-brand_eco_slogan-09,Progetto sostenibilità / Il Nostro Flacone Green,False
charngram,P-generic_green-07,pos,generic_green,0.3171,True,P-vague_supply_chain-03,Agricoltura sostenibile,False
charngram,P-generic_green-08,pos,generic_green,0.2415,True,P-brand_eco_slogan-02,Coop per l'ambiente,False
charngram,P-generic_green-09,pos,generic_green,0.3567,True,P-brand_eco_slogan-02,Coop per l'ambiente,False
charngram,P-generic_green-10,pos,generic_green,0.1265,True,P-vague_comparison-02,75% In meno di plastica,False
charngram,P-vague_comparison-01,pos,vague_comparison,0.2086,True,P-named_comparison-01,20% di plastica in meno rispetto al nostro flacone da 500 ml,False
charngram,P-vague_comparison-02,pos,vague_comparison,0.3077,True,P-named_comparison-01,20% di plastica in meno rispetto al nostro flacone da 500 ml,False
charngram,P-vague_comparison-03,pos,vague_comparison,0.1898,True,P-vague_supply_chain-03,Agricoltura sostenibile,False
charngram,P-undefined_natural-01,pos,undefined_natural,-0.1915,False,N-natural_flavour-01,Aroma naturale,False
charngram,P-undefined_natural-02,pos,undefined_natural,0.5849,True,P-undefined_natural-03,94% Ingredienti di origine naturale,True
charngram,P-undefined_natural-03,pos,undefined_natural,0.6064,True,P-undefined_natural-02,Ingredienti di origine naturale,True
charngram,P-undefined_natural-04,pos,undefined_natural,0.5251,True,P-undefined_natural-02,Ingredienti di origine naturale,True
charngram,P-climate_neutral-01,pos,climate_neutral,0.2619,True,P-climate_neutral-03,Prodotto a impatto zero,True
charngram,P-climate_neutral-02,pos,climate_neutral,0.1428,True,P-climate_neutral-04,Compensiamo le emissioni sostenendo progetti di riforestazione,True
charngram,P-climate_neutral-03,pos,climate_neutral,0.1536,True,P-climate_neutral-01,CO2 100% prodotto a impatto climatico neutralizzato,True
charngram,P-climate_neutral-04,pos,climate_neutral,0.1891,True,P-climate_neutral-02,Emissioni zero / Questa confezione è Carbon Neutral: ciò significa che neutralizziamo le emissioni di CO2 generate dalla sua produzione,True
charngram,P-climate_neutral-05,pos,climate_neutral,0.3176,True,P-certification-02,Carta certificata FSC®,False
charngram,P-vague_supply_chain-01,pos,vague_supply_chain,-0.047,False,N-health_nutrition-04,Alta digeribilità,False
charngram,P-vague_supply_chain-02,pos,vague_supply_chain,0.1834,True,P-vague_supply_chain-03,Agricoltura sostenibile,True
charngram,P-vague_supply_chain-03,pos,vague_supply_chain,0.3114,True,P-generic_green-07,brik-eco sostenibile,False
charngram,P-certification-01,pos,certification,0.0461,True,P-brand_eco_slogan-08,Viva la Natura! / Per un futuro migliore,False
charngram,P-certification-02,pos,certification,0.2909,True,P-climate_neutral-05,Neutralità climatica certificata,False
charngram,P-certification-03,pos,certification,-0.0157,False,N-origin-02,Prodotto in Italia,False
charngram,P-certification-04,pos,certification,0.227,True,P-certification-02,Carta certificata FSC®,True
charngram,P-certification-05,pos,certification,0.2307,True,P-certification-04,Certificato Ecolabel UE,True
charngram,P-recycled_recyclable-01,pos,recycled_recyclable,0.2329,True,P-recycled_recyclable-03,Vaschetta realizzata con il 50% di PET riciclato,True
charngram,P-recycled_recyclable-02,pos,recycled_recyclable,0.1769,True,P-recycled_recyclable-01,Etichetta in carta riciclata,True
charngram,P-recycled_recyclable-03,pos,recycled_recyclable,0.2383,True,P-recycled_recyclable-01,Etichetta in carta riciclata,True
charngram,P-recycled_recyclable-04,pos,recycled_recyclable,0.0432,True,P-generic_green-10,Eco pack 100% riciclabile - Con meno plastica,False
charngram,P-biodegradable-01,pos,biodegradable,0.5464,True,P-biodegradable-02,Formula biodegradabile,True
charngram,P-biodegradable-02,pos,biodegradable,0.5253,True,P-biodegradable-01,"Formula vegana & biodegradabile^ ... 99,9% formula biodegradabile",True
charngram,P-biodegradable-03,pos,biodegradable,-0.0762,False,N-tradition_history-04,le inimitabili ricette di famiglia,False
charngram,P-biodegradable-04,pos,biodegradable,0.324,True,P-biodegradable-02,Formula biodegradabile,True
charngram,P-named_endorsement-01,pos,named_endorsement,0.1681,True,P-named_endorsement-02,Prodotto consigliato dall'Associazione Italiana Celiachia,True
charngram,P-named_endorsement-02,pos,named_endorsement,-0.0341,False,N-origin-02,Prodotto in Italia,False
charngram,P-named_endorsement-03,pos,named_endorsement,-0.035,False,N-functional_packaging-05,Confezione con apertura facilitata,False
charngram,P-vegan-01,pos,vegan,0.2988,True,P-vegan-04,Senza ingredienti di origine animale,True
charngram,P-vegan-02,pos,vegan,0.1011,True,P-vegan-03,Adatto a una dieta vegana,True
charngram,P-vegan-03,pos,vegan,0.0362,True,P-vegan-02,VEGANO,True
charngram,P-vegan-04,pos,vegan,0.3832,True,P-undefined_natural-02,Ingredienti di origine naturale,False
charngram,P-vegan-05,pos,vegan,0.0556,True,P-undefined_natural-01,100% Naturale,False
charngram,P-farming_practice-01,pos,farming_practice,-0.0727,False,N-quality_scheme-03,Specialità Tradizionale Garantita,False
charngram,P-farming_practice-02,pos,farming_practice,0.0368,True,P-farming_practice-03,Maiali allevati senza uso di antibiotici,True
charngram,P-farming_practice-03,pos,farming_practice,-0.0056,False,N-free_from_non_pollutant-04,Senza coloranti artificiali,False
charngram,P-farming_practice-04,pos,farming_practice,0.0369,True,P-farming_practice-03,Maiali allevati senza uso di antibiotici,True
charngram,P-farming_practice-05,pos,farming_practice,-0.0498,False,N-tests_tolerance-03,Raccomandato dai dermatologi,False
charngram,P-defined_term-01,pos,defined_term,0.1317,True,P-undefined_natural-02,Ingredienti di origine naturale,False
